index|ja|hrkt|latn|en|pos|sound
0|行く|いく|iku|go|Verb|word_0.mp3
1|見る|みる|miru|see, look at|Verb|word_1.mp3
2|多い|おおい|ooi|a lot of, many|Adjective|word_2.mp3
3|家|うち|uchi|home, household|Noun|word_3.mp3
4|これ|これ|kore|this, this one|Pronoun|word_4.mp3
5|それ|それ|sore|that, that one|Pronoun|word_5.mp3
6|私|わたし|watashi|I (general)|Pronoun|word_6.mp3
7|仕事|しごと|shigoto|work, job|Verbal Noun|word_7.mp3
8|いつ|いつ|itsu|when|Interrogative|word_8.mp3
9|する|する|suru|do, make|Verb|word_9.mp3
10|出る|でる|deru|go out, leave|Verb|word_10.mp3
11|使う|つかう|tsukau|use, make use of|Verb|word_11.mp3
12|所|ところ|tokoro|place|Noun|word_12.mp3
13|作る|つくる|tsukuru|make, create|Verb|word_13.mp3
14|思う|おもう|omou|think|Verb|word_14.mp3
15|持つ|もつ|motsu|have, possess|Verb|word_15.mp3
16|買う|かう|kau|buy|Verb|word_16.mp3
17|時間|じかん|jikan|time, hour|Noun|word_17.mp3
18|知る|しる|shiru|know|Verb|word_18.mp3
19|同じ|おなじ|onaji|same, identical|Adjectival Noun|word_19.mp3
20|今|いま|ima|now|Adverb|word_20.mp3
21|新しい|あたらしい|atarashii|new|Adjective|word_21.mp3
22|なる|なる|naru|become|Verb|word_22.mp3
23|まだ|まだ|mada|(not) yet, still|Adverb|word_23.mp3
24|あと|あと|ato|after|Noun|word_24.mp3
25|聞く|きく|kiku|hear, ask, listen|Verb|word_25.mp3
26|言う|いう|iu|say, tell|Verb|word_26.mp3
27|少ない|すくない|sukunai|few, little|Adjective|word_27.mp3
28|高い|たかい|takai|high, tall|Adjective|word_28.mp3
29|子供|こども|kodomo|child|Noun|word_29.mp3
30|そう|そう|sou|so, that way|Adverb|word_30.mp3
31|もう|もう|mou|already, yet|Adverb|word_31.mp3
32|学生|がくせい|gakusei|student|Noun|word_32.mp3
33|熱い|あつい|atsui|hot (to touch)|Adjective|word_33.mp3
34|どうぞ|どうぞ|douzo|please|Adverb|word_34.mp3
35|午後|ごご|gogo|afternoon, p.m.|Noun|word_35.mp3
36|長い|ながい|nagai|long|Adjective|word_36.mp3
37|本|ほん|hon|book|Noun|word_37.mp3
38|今年|ことし|kotoshi|this year (colloquial)|Noun|word_38.mp3
39|よく|よく|yoku|often, well|Adverb|word_39.mp3
40|彼女|かのじょ|kanojo|she, girlfriend|Pronoun|word_40.mp3
41|どう|どう|dou|how, what|Interrogative|word_41.mp3
42|言葉|ことば|kotoba|word, language|Noun|word_42.mp3
43|顔|かお|kao|face|Noun|word_43.mp3
44|終わる|おわる|owaru|finish, end|Verb|word_44.mp3
45|一つ|ひとつ|hitotsu|one (thing)|Noun|word_45.mp3
46|あげる|あげる|ageru|give, offer (colloquial)|Verb|word_46.mp3
47|こう|こう|kou|like this, such|Adverb|word_47.mp3
48|学校|がっこう|gakkou|school|Noun|word_48.mp3
49|くれる|くれる|kureru|be given|Verb|word_49.mp3
50|始める|はじめる|hajimeru|start (something)|Verb|word_50.mp3
51|起きる|おきる|okiru|get up, get out of bed|Verb|word_51.mp3
52|春|はる|haru|spring|Noun|word_52.mp3
53|午前|ごぜん|gozen|morning, a.m.|Noun|word_53.mp3
54|別|べつ|betsu|another, different|Adjectival Noun|word_54.mp3
55|どこ|どこ|doko|where|Interrogative|word_55.mp3
56|部屋|へや|heya|room|Noun|word_56.mp3
57|若い|わかい|wakai|young|Adjective|word_57.mp3
58|車|くるま|kuruma|car, automobile|Noun|word_58.mp3
59|置く|おく|oku|put, place|Verb|word_59.mp3
60|住む|すむ|sumu|live, reside|Verb|word_60.mp3
61|働く|はたらく|hataraku|work|Verb|word_61.mp3
62|難しい|むずかしい|muzukashii|difficult|Adjective|word_62.mp3
63|先生|せんせい|sensei|teacher (colloquial)|Noun|word_63.mp3
64|立つ|たつ|tatsu|stand, rise|Verb|word_64.mp3
65|呼ぶ|よぶ|yobu|call, name|Verb|word_65.mp3
66|大学|だいがく|daigaku|university, college|Noun|word_66.mp3
67|安い|やすい|yasui|cheap, inexpensive|Adjective|word_67.mp3
68|もっと|もっと|motto|more|Adverb|word_68.mp3
69|帰る|かえる|kaeru|go back home|Verb|word_69.mp3
70|分かる|わかる|wakaru|understand|Verb|word_70.mp3
71|広い|ひろい|hiroi|wide, big|Adjective|word_71.mp3
72|数|かず|kazu|number|Noun|word_72.mp3
73|近い|ちかい|chikai|near, close|Adjective|word_73.mp3
74|そこ|そこ|soko|there|Pronoun|word_74.mp3
75|走る|はしる|hashiru|run|Verb|word_75.mp3
76|入れる|いれる|ireru|put in|Verb|word_76.mp3
77|教える|おしえる|oshieru|teach, tell|Verb|word_77.mp3
78|歩く|あるく|aruku|walk, go on foot|Verb|word_78.mp3
79|会う|あう|au|meet|Verb|word_79.mp3
80|書く|かく|kaku|write|Verb|word_80.mp3
81|頭|あたま|atama|head|Noun|word_81.mp3
82|売る|うる|uru|sell|Verb|word_82.mp3
83|大好き|だいすき|daisuki|like (something) a lot|Adjectival Noun|word_83.mp3
84|体|からだ|karada|body, physique, physical condition|Noun|word_84.mp3
85|直ぐ|すぐ|sugu|at once, soon|Adverb|word_85.mp3
86|飛ぶ|とぶ|tobu|fly|Verb|word_86.mp3
87|とても|とても|totemo|very (colloquial)|Adverb|word_87.mp3
88|誰|だれ|dare|who|Interrogative|word_88.mp3
89|好き|すき|suki|favorite, liked|Adjectival Noun|word_89.mp3
90|読む|よむ|yomu|read|Verb|word_90.mp3
91|次|つぎ|tsugi|next|Noun|word_91.mp3
92|あなた|あなた|anata|you|Pronoun|word_92.mp3
93|飲む|のむ|nomu|drink|Verb|word_93.mp3
94|古い|ふるい|furui|old|Adjective|word_94.mp3
95|質問|しつもん|shitsumon|question|Verbal Noun|word_95.mp3
96|今日|きょう|kyou|today (colloquial)|Noun|word_96.mp3
97|友達|ともだち|tomodachi|friend, companion (colloquial)|Noun|word_97.mp3
98|早い|はやい|hayai|early|Adjective|word_98.mp3
99|どれ|どれ|dore|what, which|Interrogative|word_99.mp3
100|美しい|うつくしい|utsukushii|beautiful|Adjective|word_100.mp3
101|いつも|いつも|itsumo|always (colloquial)|Adverb|word_101.mp3
102|足|あし|ashi|leg, foot|Noun|word_102.mp3
103|起こす|おこす|okosu|wake (someone) up|Verb|word_103.mp3
104|見せる|みせる|miseru|show|Verb|word_104.mp3
105|娘|むすめ|musume|daughter, girl|Noun|word_105.mp3
106|楽しむ|たのしむ|tanoshimu|enjoy|Verb|word_106.mp3
107|色|いろ|iro|color|Noun|word_107.mp3
108|みんな|みんな|minna|everybody (colloquial)|Noun|word_108.mp3
109|取る|とる|toru|take, get|Verb|word_109.mp3
110|勉強|べんきょう|benkyou|study|Verbal Noun|word_110.mp3
111|できる|できる|dekiru|can do, be good at|Verb|word_111.mp3
112|短い|みじかい|mijikai|short, brief|Adjective|word_112.mp3
113|落ちる|おちる|ochiru|fall, come down|Verb|word_113.mp3
114|息子|むすこ|musuko|son|Noun|word_114.mp3
115|白い|しろい|shiroi|white, blank|Adjective|word_115.mp3
116|飛行機|ひこうき|hikouki|airplane|Noun|word_116.mp3
117|病気|びょうき|byouki|illness|Noun|word_117.mp3
118|冬|ふゆ|fuyu|winter|Noun|word_118.mp3
119|年|とし|toshi|year, age|Noun|word_119.mp3
120|重い|おもい|omoi|heavy|Adjective|word_120.mp3
121|胸|むね|mune|chest, breast|Noun|word_121.mp3
122|払う|はらう|harau|pay (money, respect, attention, etc.)|Verb|word_122.mp3
123|軽い|かるい|karui|light (of weight, degree, etc.)|Adjective|word_123.mp3
124|見つける|みつける|mitsukeru|find|Verb|word_124.mp3
125|忘れる|わすれる|wasureru|forget, leave behind|Verb|word_125.mp3
126|酒|さけ|sake|alcohol, rice wine|Noun|word_126.mp3
127|どちら|どちら|dochira|which (polite)|Interrogative|word_127.mp3
128|姉|あね|ane|(one's own) older sister|Noun|word_128.mp3
129|覚える|おぼえる|oboeru|memorize, learn|Verb|word_129.mp3
130|狭い|せまい|semai|narrow, small|Adjective|word_130.mp3
131|赤い|あかい|akai|red|Adjective|word_131.mp3
132|着る|きる|kiru|wear, put on|Verb|word_132.mp3
133|笑う|わらう|warau|laugh, smile|Verb|word_133.mp3
134|一番|いちばん|ichiban|most, best|Adverb|word_134.mp3
135|授業|じゅぎょう|jugyou|class session, lecture|Verbal Noun|word_135.mp3
136|週|しゅう|shuu|week|Noun|word_136.mp3
137|漢字|かんじ|kanji|Chinese character|Noun|word_137.mp3
138|自転車|じてんしゃ|jitensha|bicycle|Noun|word_138.mp3
139|電車|でんしゃ|densha|train|Noun|word_139.mp3
140|探す|さがす|sagasu|search for, look for (someone or something one wants)|Verb|word_140.mp3
141|紙|かみ|kami|paper|Noun|word_141.mp3
142|歌う|うたう|utau|sing|Verb|word_142.mp3
143|遅い|おそい|osoi|slow, late|Adjective|word_143.mp3
144|首|くび|kubi|neck|Noun|word_144.mp3
145|速い|はやい|hayai|fast|Adjective|word_145.mp3
146|一緒に|いっしょに|isshoni|together, at the same time|Adverb|word_146.mp3
147|今月|こんげつ|kongetsu|this month|Noun|word_147.mp3
148|遊ぶ|あそぶ|asobu|play|Verb|word_148.mp3
149|遠い|とおい|tooi|far, distant|Adjective|word_149.mp3
150|弱い|よわい|yowai|weak|Adjective|word_150.mp3
151|耳|みみ|mimi|ear|Noun|word_151.mp3
152|座る|すわる|suwaru|sit, sit down|Verb|word_152.mp3
153|右|みぎ|migi|right|Noun|word_153.mp3
154|浴びる|あびる|abiru|take (a shower), bask|Verb|word_154.mp3
155|肩|かた|kata|shoulder|Noun|word_155.mp3
156|寝る|ねる|neru|sleep, go to sleep|Verb|word_156.mp3
157|消す|けす|kesu|switch off, turn off|Verb|word_157.mp3
158|元気|げんき|genki|healthy, energetic|Adjectival Noun|word_158.mp3
159|全部|ぜんぶ|zenbu|all, whole|Noun|word_159.mp3
160|去年|きょねん|kyonen|last year (colloquial)|Noun|word_160.mp3
161|引く|ひく|hiku|draw, pull|Verb|word_161.mp3
162|図書館|としょかん|toshokan|library|Noun|word_162.mp3
163|上げる|あげる|ageru|raise, lift|Verb|word_163.mp3
164|緑|みどり|midori|green color, greenery|Noun|word_164.mp3
165|腕|うで|ude|arm|Noun|word_165.mp3
166|ドア|ドア|doa|door (loan word)|Noun|word_166.mp3
167|女の子|おんなのこ|onnanoko|little girl|Noun|word_167.mp3
168|男の子|おとこのこ|otokonoko|boy|Noun|word_168.mp3
169|私たち|わたしたち|watashitachi|we (colloquial)|Pronoun|word_169.mp3
170|近く|ちかく|chikaku|near, close to|Noun|word_170.mp3
171|やる|やる|yaru|do, give|Verb|word_171.mp3
172|かなり|かなり|kanari|fairly, rather|Adverb|word_172.mp3
173|国|くに|kuni|country|Noun|word_173.mp3
174|起こる|おこる|okoru|happen|Verb|word_174.mp3
175|秋|あき|aki|autumn, fall|Noun|word_175.mp3
176|送る|おくる|okuru|send|Verb|word_176.mp3
177|死ぬ|しぬ|shinu|die|Verb|word_177.mp3
178|気持ち|きもち|kimochi|feeling, sensation|Noun|word_178.mp3
