index|hira|kana|en|pos|sound|audio|image_hira|image_kana|detail_hira|detail_kana
0|あ|ア|a|Kana|Kana_a.mp3|db/0/audio.mp3|db/0/hira_a.png|db/0/kana_a.png|db/0/detail_hira_a.png|db/0/detail_kana_a.png
1|い|イ|i|Kana|Kana_i.mp3|db/1/audio.mp3|db/1/hira_i.png|db/1/kana_i.png|db/1/detail_hira_i.png|db/1/detail_kana_i.png
2|う|ウ|u|Kana|Kana_u.mp3|db/2/audio.mp3|db/2/hira_u.png|db/2/kana_u.png|db/2/detail_hira_u.png|db/2/detail_kana_u.png
3|え|エ|e|Kana|Kana_e.mp3|db/3/audio.mp3|db/3/hira_e.png|db/3/kana_e.png|db/3/detail_hira_e.png|db/3/detail_kana_e.png
4|お|オ|o|Kana|Kana_o.mp3|db/4/audio.mp3|db/4/hira_o.png|db/4/kana_o.png|db/4/detail_hira_o.png|db/4/detail_kana_o.png
5|か|カ|ka|Kana|Kana_ka.mp3|db/5/audio.mp3|db/5/hira_ka.png|db/5/kana_ka.png|db/5/detail_hira_ka.png|db/5/detail_kana_ka.png
6|き|キ|ki|Kana|Kana_ki.mp3|db/6/audio.mp3|db/6/hira_ki.png|db/6/kana_ki.png|db/6/detail_hira_ki.png|db/6/detail_kana_ki.png
7|く|ク|ku|Kana|Kana_ku.mp3|db/7/audio.mp3|db/7/hira_ku.png|db/7/kana_ku.png|db/7/detail_hira_ku.png|db/7/detail_kana_ku.png
8|け|ケ|ke|Kana|Kana_ke.mp3|db/8/audio.mp3|db/8/hira_ke.png|db/8/kana_ke.png|db/8/detail_hira_ke.png|db/8/detail_kana_ke.png
9|こ|コ|ko|Kana|Kana_ko.mp3|db/9/audio.mp3|db/9/hira_ko.png|db/9/kana_ko.png|db/9/detail_hira_ko.png|db/9/detail_kana_ko.png
10|さ|サ|sa|Kana|Kana_sa.mp3|db/10/audio.mp3|db/10/hira_sa.png|db/10/kana_sa.png|db/10/detail_hira_sa.png|db/10/detail_kana_sa.png
11|し|シ|shi|Kana|Kana_shi.mp3|db/11/audio.mp3|db/11/hira_shi.png|db/11/kana_shi.png|db/11/detail_hira_shi.png|db/11/detail_kana_shi.png
12|す|ス|su|Kana|Kana_su.mp3|db/12/audio.mp3|db/12/hira_su.png|db/12/kana_su.png|db/12/detail_hira_su.png|db/12/detail_kana_su.png
13|せ|セ|se|Kana|Kana_se.mp3|db/13/audio.mp3|db/13/hira_se.png|db/13/kana_se.png|db/13/detail_hira_se.png|db/13/detail_kana_se.png
14|そ|ソ|so|Kana|Kana_so.mp3|db/14/audio.mp3|db/14/hira_so.png|db/14/kana_so.png|db/14/detail_hira_so.png|db/14/detail_kana_so.png
15|た|タ|ta|Kana|Kana_ta.mp3|db/15/audio.mp3|db/15/hira_ta.png|db/15/kana_ta.png|db/15/detail_hira_ta.png|db/15/detail_kana_ta.png
16|ち|チ|chi|Kana|Kana_chi.mp3|db/16/audio.mp3|db/16/hira_chi.png|db/16/kana_chi.png|db/16/detail_hira_chi.png|db/16/detail_kana_chi.png
17|つ|ツ|tsu|Kana|Kana_tsu.mp3|db/17/audio.mp3|db/17/hira_tsu.png|db/17/kana_tsu.png|db/17/detail_hira_tsu.png|db/17/detail_kana_tsu.png
18|て|テ|te|Kana|Kana_te.mp3|db/18/audio.mp3|db/18/hira_te.png|db/18/kana_te.png|db/18/detail_hira_te.png|db/18/detail_kana_te.png
19|と|ト|to|Kana|Kana_to.mp3|db/19/audio.mp3|db/19/hira_to.png|db/19/kana_to.png|db/19/detail_hira_to.png|db/19/detail_kana_to.png
20|な|ナ|na|Kana|Kana_na.mp3|db/20/audio.mp3|db/20/hira_na.png|db/20/kana_na.png|db/20/detail_hira_na.png|db/20/detail_kana_na.png
21|に|ニ|ni|Kana|Kana_ni.mp3|db/21/audio.mp3|db/21/hira_ni.png|db/21/kana_ni.png|db/21/detail_hira_ni.png|db/21/detail_kana_ni.png
22|ぬ|ヌ|nu|Kana|Kana_nu.mp3|db/22/audio.mp3|db/22/hira_nu.png|db/22/kana_nu.png|db/22/detail_hira_nu.png|db/22/detail_kana_nu.png
23|ね|ネ|ne|Kana|Kana_ne.mp3|db/23/audio.mp3|db/23/hira_ne.png|db/23/kana_ne.png|db/23/detail_hira_ne.png|db/23/detail_kana_ne.png
24|の|ノ|no|Kana|Kana_no.mp3|db/24/audio.mp3|db/24/hira_no.png|db/24/kana_no.png|db/24/detail_hira_no.png|db/24/detail_kana_no.png
25|は|ハ|ha|Kana|Kana_ha.mp3|db/25/audio.mp3|db/25/hira_ha.png|db/25/kana_ha.png|db/25/detail_hira_ha.png|db/25/detail_kana_ha.png
26|ひ|ヒ|hi|Kana|Kana_hi.mp3|db/26/audio.mp3|db/26/hira_hi.png|db/26/kana_hi.png|db/26/detail_hira_hi.png|db/26/detail_kana_hi.png
