index|word_index|ja|hrkt|latn|en|image|sound
0|0|日曜日は図書館に<b>行きます</b>。|にちようび は としょかん に <b>いきます</b>。|nichiyoubi ha toshokan ni <b>ikimasu</b>.|I go to the library on Sundays.|sentence_0.jpg|sentence_0.mp3
1|0|私は夏休みにプールに<b>行った</b>。|わたし は なつやすみ に プール に <b>いった</b>。|watashi ha natsuyasumi ni pu-ru ni <b>itta</b>.|I went to the pool during summer vacation.|sentence_1.jpg|sentence_1.mp3
2|1|私は絵を<b>見る</b>のが好きです。|わたし は え を <b>みる</b> の が すき です。|watashi ha e wo <b>miru</b> no ga suki desu.|I like looking at pictures.|sentence_2.jpg|sentence_2.mp3
3|1|仕事のあと、映画を<b>見た</b>。|しごと の あと、 えいが を <b>みた</b>。|shigoto no ato, eiga wo <b>mita</b>.|I saw a movie after work.|sentence_3.jpg|sentence_3.mp3
4|2|京都にはお寺が<b>多い</b>。|きょうと に は おてら が <b>おおい</b>。|kyouto ni ha otera ga <b>ooi</b>.|There are a lot of temples in Kyoto.|sentence_4.jpg|sentence_4.mp3
5|2|この道は車が<b>多い</b>。|この みち は くるま が <b>おおい</b>。|kono michi ha kuruma ga <b>ooi</b>.|There are many cars on this road.|sentence_5.jpg|sentence_5.mp3
6|3|<b>家</b>に遊びにきてください。|<b>うち</b> に あそび に きて ください。|<b>uchi</b> ni asobi ni kite kudasai.|Please come over to my home.|sentence_6.jpg|sentence_6.mp3
7|3|夏休みにお祖母ちゃんの<b>家</b>へ行きました。|なつやすみ に おばあちゃん の <b>うち</b> へ いきました。|natsuyasumi ni obaachan no <b>uchi</b> he ikimashita.|I went to my grandma's house during summer vacation.|sentence_7.jpg|sentence_7.mp3
8|4|<b>これ</b>をください。|<b>これ</b> を ください。|<b>kore</b> wo kudasai.|I'll have this please.|sentence_8.jpg|sentence_8.mp3
9|4|<b>これ</b>はあなたの鞄ですか。|<b>これ</b> は あなた の かばん です か。|<b>kore</b> ha anata no kaban desu ka.|Is this your bag?|sentence_9.jpg|sentence_9.mp3
10|5|<b>それ</b>はとてもいい話だ。|<b>それ</b> は とても いい はなし だ。|<b>sore</b> ha totemo ii hanashi da.|That's a really nice story.|sentence_10.jpg|sentence_10.mp3
11|5|<b>それ</b>を一つください。|<b>それ</b> を ひとつ ください。|<b>sore</b> wo hitotsu kudasai.|Please give me that one.|sentence_11.jpg|sentence_11.mp3
12|6|<b>私</b>が行きましょう。|<b>わたし</b> が いきましょう。|<b>watashi</b> ga ikimashou.|I'll go.|sentence_12.jpg|sentence_12.mp3
13|6|<b>私</b>は毎朝コーヒーを飲みます。|<b>わたし</b> は まいあさ コーヒー を のみます。|<b>watashi</b> ha maiasa ko-hi- wo nomimasu.|I drink coffee every morning.|sentence_13.jpg|sentence_13.mp3
14|7|3月は<b>仕事</b>が忙しい。|3 がつ は <b>しごと</b> が いそがしい。|3 gatsu ha <b>shigoto</b> ga isogashii.|I'm busy at work in March.|sentence_14.jpg|sentence_14.mp3
15|7|<b>仕事</b>のあと、映画を見た。|<b>しごと</b> の あと、 えいが を みた。|<b>shigoto</b> no ato, eiga wo mita.|I saw a movie after work.|sentence_15.jpg|sentence_15.mp3
16|8|彼女は<b>いつ</b>来ますか。|かのじょ は <b>いつ</b> きます か。|kanojo ha <b>itsu</b> kimasu ka.|When is she coming?|sentence_16.jpg|sentence_16.mp3
17|8|次は<b>いつ</b>会いましょうか。|つぎ は <b>いつ</b> あいましょう か。|tsugi ha <b>itsu</b> aimashou ka.|When shall we meet again?|sentence_17.jpg|sentence_17.mp3
18|9|友達と一緒に宿題を<b>した</b>。|ともだち と いっしょ に しゅくだい を <b>した</b>。|tomodachi to issho ni shukudai wo <b>shita</b>.|I did my homework with my friend.|sentence_18.jpg|sentence_18.mp3
19|9|男の子たちがサッカーを<b>して</b>いる。|おとこのこ たち が サッカー を <b>して</b> いる 。|otokonoko tachi ga sakka- wo <b>shite</b> iru .|The boys are playing soccer.|sentence_19.jpg|sentence_19.mp3
20|10|今朝は早く家を<b>出ました</b>。|けさ は はやく いえ を <b>でました</b>。|kesa ha hayaku ie wo <b>demashita</b>.|I left the house early this morning.|sentence_20.jpg|sentence_20.mp3
21|10|今日は5時に会社を<b>出ます</b>。|きょう は 5 じ に かいしゃ を <b>でます</b>。|kyou ha 5 ji ni kaisha wo <b>demasu</b>.|I'll leave the office at five today.||sentence_21.mp3
22|11|このパソコンを<b>使って</b>ください。|この パソコン を <b>つかって</b> ください。|kono pasokon wo <b>tsukatte</b> kudasai.|Please use this computer.|sentence_22.jpg|sentence_22.mp3
23|11|彼女は辞書をよく<b>使います</b>。|かのじょ は じしょ を よく <b>つかいます</b>。|kanojo ha jisho wo yoku <b>tsukaimasu</b>.|She often uses a dictionary.|sentence_23.jpg|sentence_23.mp3
24|12|私は友達の<b>所</b>に泊まった。|わたし は ともだち の <b>ところ</b> に とまった。|watashi ha tomodachi no <b>tokoro</b> ni tomatta.|I stayed at my friend's place for the night.|sentence_24.jpg|sentence_24.mp3
25|12|今年の夏休みには静かな<b>所</b>へ行きたい。|ことし の なつやすみ に は しずかな <b>ところ</b> へ いきたい。|kotoshi no natsuyasumi ni ha shizukana <b>tokoro</b> he ikitai.|I want to go to a quiet place this summer vacation.|sentence_25.jpg|sentence_25.mp3
26|13|今、朝ご飯を<b>作って</b>います。|いま、あさ ごはん を <b>つくって</b> います。|ima,asa gohan wo <b>tsukutte</b> imasu.|I'm making breakfast now.|sentence_26.jpg|sentence_26.mp3
27|13|母がコーンスープを<b>作って</b>いる。|はは が コーン スープ を <b>つくって</b> いる。|haha ga ko-n su-pu wo <b>tsukutte</b> iru.|My mother is making some corn chowder.|sentence_27.jpg|sentence_27.mp3
28|14|私もそう<b>思います</b>。|わたし も そう <b>おもいます</b>。|watashi mo sou <b>omoimasu</b>.|I think so, too. |sentence_28.jpg|sentence_28.mp3
29|14|あなたはどう<b>思います</b>か。|あなた は どう <b>おもいます</b> か。|anata ha dou <b>omoimasu</b> ka.|What do you think?|sentence_29.jpg|sentence_29.mp3
30|15|私は車を<b>持って</b>います。|わたし は くるま を <b>もって</b> います。|watashi ha kuruma wo <b>motte</b> imasu.|I have a car.|sentence_30.jpg|sentence_30.mp3
31|15|私は黒いバッグを<b>持って</b>います。|わたし は くろい バッグ を <b>もって</b> います。|watashi ha kuroi baggu wo <b>motte</b> imasu.|I have a black bag.|sentence_31.jpg|sentence_31.mp3
32|16|郵便局で切手を<b>買いました</b>。|ゆうびんきょく で きって を <b>かいました</b>。|yuubinkyoku de kitte wo <b>kaimashita</b>.|I bought a stamp at the post office.|sentence_32.jpg|sentence_32.mp3
33|16|本を1冊<b>買いました</b>。|ほん を 1 さつ <b>かいました</b>。|hon wo 1 satsu <b>kaimashita</b>.|I bought one book.|sentence_33.jpg|sentence_33.mp3
34|17|今は<b>時間</b>がありません。|いま は <b>じかん</b> が ありません。|ima ha <b>jikan</b> ga arimasen.|I don't have time now.|sentence_34.jpg|sentence_34.mp3
35|17|まだ学校へ行くには早い<b>時間</b>です。|まだ がっこう へ いく に は はやい <b>じかん</b> です。|mada gakkou he iku ni ha hayai <b>jikan</b> desu.|It's still too early to go to school.|sentence_35.jpg|sentence_35.mp3
36|18|誰もその話を<b>知らない</b>。|だれ も その はなし を <b>しらない</b>。|dare mo sono hanashi wo <b>shiranai</b>.|No one knows that story.|sentence_36.jpg|sentence_36.mp3
37|18|あの女の子を<b>知って</b>いますか。|あの おんなのこ を <b>しって</b> います か。|ano onnanoko wo <b>shitte</b> imasu ka.|Do you know that girl?|sentence_37.jpg|sentence_37.mp3
38|19|彼の日本語のレベルは私と<b>同じ</b>くらいだ。|かれ の にほん ご の レベル は わたし と <b>おなじ</b> くらい だ。|kare no nihon go no reberu ha watashi to <b>onaji</b> kurai da.|His Japanese level is about the same as mine.|sentence_38.jpg|sentence_38.mp3
39|19|いとこと私は<b>同じ</b>年です。|いとこ と わたし は <b>おなじ</b> とし です。|itoko to watashi ha <b>onaji</b> toshi desu.|My cousin and I are the same age.|sentence_39.jpg|sentence_39.mp3
40|20|彼は<b>今</b>、勉強しています。|かれ は <b>いま</b>、べんきょう して います。|kare ha <b>ima</b>,benkyou shite imasu.|He's studying now.|sentence_40.jpg|sentence_40.mp3
41|20|<b>今</b>ホテルに着きました。|<b>いま</b> ホテル に つきました。|<b>ima</b> hoteru ni tsukimashita.|I've just arrived at the hotel.|sentence_41.jpg|sentence_41.mp3
42|21|彼の車は<b>新しい</b>。|かれ の くるま は <b>あたらしい</b>。|kare no kuruma ha <b>atarashii</b>.|His car is new.|sentence_42.jpg|sentence_42.mp3
43|21|<b>新しい</b>テーブルを買いました。|<b>あたらしい</b> テーブル を かいました。|<b>atarashii</b> te-buru wo kaimashita.|I bought a new table.|sentence_43.jpg|sentence_43.mp3
44|22|彼は医者に<b>なりました</b>。|かれ は いしゃ に <b>なりました</b>。|kare ha isha ni <b>narimashita</b>.|He became a doctor.|sentence_44.jpg|sentence_44.mp3
45|22|私は日本語の先生に<b>なりたい</b>です。|わたし は にほん ご の せんせい に <b>なりたい</b> です。|watashi ha nihon go no sensei ni <b>naritai</b> desu.|I want to become a Japanese teacher.|sentence_45.jpg|sentence_45.mp3
46|23|宿題は<b>まだ</b>終わっていません。|しゅくだい は <b>まだ</b> おわって いません。|shukudai ha <b>mada</b> owatte imasen.|I haven't finished my homework yet.|sentence_46.jpg|sentence_46.mp3
47|23|彼は<b>まだ</b>若いです。|かれ は <b>まだ</b> わかい です。|kare ha <b>mada</b> wakai desu.|He's still young.|sentence_47.jpg|sentence_47.mp3
48|24|仕事の<b>あと</b>、映画を見た。|しごと の <b>あと</b>、 えいが を みた。|shigoto no <b>ato</b>, eiga wo mita.|I saw a movie after work.|sentence_48.jpg|sentence_48.mp3
49|24|この<b>あと</b>、時間がありますか。|この <b>あと</b>、じかん が あります か。|kono <b>ato</b>,jikan ga arimasu ka.|Do you have time after this?||sentence_49.mp3
50|25|彼女はラジオを<b>聞いて</b>います。|かのじょ は ラジオ を <b>きいて</b> います。|kanojo ha rajio wo <b>kiite</b> imasu.|She's listening to the radio.|sentence_50.jpg|sentence_50.mp3
51|25|誰かに<b>聞いて</b>みてください。|だれ か に <b>きいて</b> みて ください。|dare ka ni <b>kiite</b> mite kudasai.|Please ask someone.|sentence_51.jpg|sentence_51.mp3
52|26|上司が「一杯、飲もう」と<b>言った</b>。|じょうし が 「いっぱい のもう」 と <b>いった</b>。|joushi ga 「ippai nomou」 to <b>itta</b>.|My boss said: "Let's have a drink."|sentence_52.jpg|sentence_52.mp3
53|26|彼はまた電話すると<b>言いました</b>。|かれ は また でんわ する と <b>いいました</b>。|kare ha mata denwa suru to <b>iimashita</b>.|He said he'd call again.||sentence_53.mp3
54|27|今年は雨が<b>少ない</b>です。|ことし は あめ が <b>すくない</b> です。|kotoshi ha ame ga <b>sukunai</b> desu.|There's not much rain this year.|sentence_54.jpg|sentence_54.mp3
55|27|この町には外人が<b>少ない</b>。|この まち に は がいじん が <b>すくない</b>。|kono machi ni ha gaijin ga <b>sukunai</b>.|There are few foreigners in this town.|sentence_55.jpg|sentence_55.mp3
56|28|これがこの町で一番<b>高い</b>ビルです。|これ が この まち で いちばん <b>たかい</b> ビル です。|kore ga kono machi de ichiban <b>takai</b> biru desu.|This is the tallest building in this town.|sentence_56.jpg|sentence_56.mp3
57|28|彼はクラスで一番背が<b>高い</b>。|かれ は クラス で いちばん せ が <b>たかい</b>。|kare ha kurasu de ichiban se ga <b>takai</b>.|He's the tallest in class.|sentence_57.jpg|sentence_57.mp3
58|29|電車で<b>子供</b>が騒いでいた。|でんしゃ で <b>こども</b> が さわいで いた。|densha de <b>kodomo</b> ga sawaide ita.|Children were making a lot of noise in the train.|sentence_58.jpg|sentence_58.mp3
